,country,year,attack type,target industry,financial loss (in million $),number of affected users,security vulnerability type,defense mechanism used,incident resolution time (in hours),data breach in gb
0,china,2019,phishing,education,80.53,773169.0,unpatched software,vpn,37.0,115.02
1,china,2020,ransomware,retail,62.19,295961.0,unpatched software,antivirus,71.0,44.37
2,uk,2017,phishing,it,51.41,605895.0,weak passwords,vpn,20.0,144.25
3,uk,2020,ransomware,it,51.41,659320.0,social engineering,ai based detection,7.0,536.22
4,germany,2018,man-in-the-middle,it,74.41,810682.0,social engineering,antivirus,68.0,38.43
5,germany,2017,phishing,retail,98.24,285201.0,social engineering,antivirus,25.0,38.43
6,uk,2016,phishing,it,33.26,431262.0,zero day,vpn,34.0,583.37
7,france,2018,phishing,it,59.23,502006.5,zero day,antivirus,37.0,172.63
8,uk,2016,man-in-the-middle,it,16.88,698249.0,social engineering,vpn,37.0,55.2
9,uk,2023,ddos,healthcare,69.14,685927.0,unpatched software,firewall,58.0,123.2
10,china,2020,phishing,telecommunications,88.67,493675.0,zero day,vpn,29.0,27.25
11,china,2020,sql injection,healthcare,38.81,920768.0,unpatched software,ai based detection,27.0,27.15
12,india,2020,ransomware,education,30.56,583204.0,zero day,antivirus,37.0,78.49
13,france,2023,phishing,healthcare,58.37,502006.5,zero day,ai based detection,35.0,3.1
14,france,2024,ddos,it,48.01,922258.0,zero day,antivirus,64.0,55.2
15,australia,2022,phishing,banking,64.31,120789.0,zero day,encryption,37.0,23.49
16,russia,2020,man-in-the-middle,healthcare,13.04,850158.0,unpatched software,ai based detection,67.0,11.95
17,india,2015,phishing,it,93.14,502006.5,social engineering,encryption,56.0,87.48
18,uk,2019,malware,telecommunications,14.01,578443.0,social engineering,firewall,28.0,13.98
19,india,2016,ddos,it,36.45,261808.0,zero day,ai based detection,6.0,6.56
20,brazil,2015,phishing,retail,49.55,920172.0,weak passwords,antivirus,43.0,492.0
21,france,2023,ransomware,education,51.41,502006.5,social engineering,vpn,11.0,38.91
22,uk,2017,ddos,government,51.41,246205.0,unpatched software,antivirus,30.0,60.42
23,japan,2022,phishing,telecommunications,20.42,186148.0,weak passwords,antivirus,32.0,6.44
24,brazil,2020,ddos,telecommunications,51.84,699007.0,social engineering,vpn,30.0,24.13
25,china,2021,phishing,retail,51.06,628562.0,zero day,ai based detection,52.0,64.48
26,japan,2022,malware,education,53.04,570494.0,unpatched software,vpn,53.0,9.71
27,uk,2022,ransomware,banking,26.17,937653.0,unpatched software,antivirus,24.0,95.92
28,uk,2020,malware,it,87.32,599757.0,social engineering,antivirus,9.0,22.18
29,australia,2015,ddos,it,82.7,904805.0,zero day,encryption,61.0,35.25
30,uk,2022,sql injection,education,66.24,502006.5,social engineering,ai based detection,11.0,22.14
31,france,2020,phishing,telecommunications,18.38,246900.0,zero day,ai based detection,34.0,55.2
32,uk,2015,phishing,it,42.99,85255.0,zero day,encryption,61.0,53.5
33,uk,2022,phishing,banking,98.47,972469.0,zero day,antivirus,21.0,55.2
34,brazil,2023,phishing,healthcare,14.51,113777.0,weak passwords,vpn,27.0,187.51
35,brazil,2020,phishing,banking,17.75,739540.0,zero day,encryption,31.0,8.75
36,china,2020,phishing,education,51.41,722788.0,zero day,firewall,70.0,74.69
37,japan,2021,sql injection,retail,82.52,214372.0,unpatched software,encryption,12.0,2.89
38,uk,2022,phishing,retail,32.53,235314.0,weak passwords,ai based detection,62.0,7.45
39,brazil,2016,phishing,education,51.41,140812.0,unpatched software,vpn,71.0,55.2
40,russia,2015,ddos,telecommunications,96.39,238356.0,zero day,ai based detection,3.0,165.29
41,india,2021,sql injection,it,98.09,502006.5,zero day,vpn,57.0,70.6
42,uk,2020,man-in-the-middle,retail,51.41,502006.5,zero day,encryption,37.0,45.9
43,usa,2017,ddos,it,74.12,403108.0,zero day,vpn,37.0,34.76
