country,year,attack type,target industry,financial loss (in million $),number of affected users,security vulnerability type,defense mechanism used,incident resolution time (in hours),data breach in gb,severity_kmeans,country_encoded,attack type_encoded,target industry_encoded,security vulnerability type_encoded,defense mechanism used_encoded,severity_kmeans_encoded
china,2019,phishing,education,80.53,773169.0,unpatched software,vpn,37.0,115.02,Critical,49.59663946587538,50.854168128888176,48.46954841946814,50.39994936708861,50.51369003690037,89.91338255033557
china,2020,ransomware,retail,62.19,295961.0,unpatched software,antivirus,71.0,44.37,High,49.59663946587538,50.373152852977924,50.93712900096993,50.39994936708861,51.08555063478004,69.99341233766233
uk,2017,phishing,it,51.41,605895.0,weak passwords,vpn,20.0,144.25,Medium,50.7941619047619,50.854168128888176,50.97536605796616,50.6939484857062,50.51369003690037,48.46779490529065
uk,2020,ransomware,it,51.41,659320.0,social engineering,ai based detection,7.0,536.22,Medium,50.7941619047619,50.373152852977924,50.97536605796616,51.27242457487658,50.74505869797225,48.46779490529065
germany,2018,man-in-the-middle,it,74.41,810682.0,social engineering,antivirus,68.0,38.43,High,53.41150070126228,51.405620172648796,50.97536605796616,51.27242457487658,51.08555063478004,69.99341233766233
germany,2017,phishing,retail,98.24,285201.0,social engineering,antivirus,25.0,38.43,Critical,53.41150070126228,50.854168128888176,50.93712900096993,51.27242457487658,51.08555063478004,89.91338255033557
uk,2016,phishing,it,33.26,431262.0,zero day,vpn,34.0,583.37,Medium,50.7941619047619,50.854168128888176,50.97536605796616,50.73063247408982,50.51369003690037,48.46779490529065
france,2018,phishing,it,59.23,502006.5,zero day,antivirus,37.0,172.63,Medium,49.647629427792914,50.854168128888176,50.97536605796616,50.73063247408982,51.08555063478004,48.46779490529065
uk,2016,man-in-the-middle,it,16.88,698249.0,social engineering,vpn,37.0,55.2,Low,50.7941619047619,51.405620172648796,50.97536605796616,51.27242457487658,50.51369003690037,15.9447700770077
uk,2023,ddos,healthcare,69.14,685927.0,unpatched software,firewall,58.0,123.2,High,50.7941619047619,52.0362353858145,50.03413125590179,50.39994936708861,50.07604240282686,69.99341233766233
china,2020,phishing,telecommunications,88.67,493675.0,zero day,vpn,29.0,27.25,Critical,49.59663946587538,50.854168128888176,51.06955882352941,50.73063247408982,50.51369003690037,89.91338255033557
china,2020,sql injection,healthcare,38.81,920768.0,unpatched software,ai based detection,27.0,27.15,Medium,49.59663946587538,50.24415149006622,50.03413125590179,50.39994936708861,50.74505869797225,48.46779490529065
india,2020,ransomware,education,30.56,583204.0,zero day,antivirus,37.0,78.49,Low,48.44036096256684,50.373152852977924,48.46954841946814,50.73063247408982,51.08555063478004,15.9447700770077
france,2023,phishing,healthcare,58.37,502006.5,zero day,ai based detection,35.0,3.1,Medium,49.647629427792914,50.854168128888176,50.03413125590179,50.73063247408982,50.74505869797225,48.46779490529065
