Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Data Breach In GB
CHina,2019.0,PHishing,EduCAtiON,80.53,773169.0,HAcKER Group,UNpAtChed SofTWaRe,VPN,,115.02
CHiNa,,RaNsOmWarE,RetaiL!,62.19,295961.0,Hacker GROUp,UnPatched SOfTware,,71.0,44.37
,2017.0,,,,605895.0,HacKeR GRoup,Weak PAsSWoRDS,VPN,20.0,144.25
 UK  ,,RansoMware,,,659320.0,NAtION-sTatE,SocIal Engineering,AI-BaSed Detection,7.0,536.22
GeRmany,2018.0,MaN-In-the-MidDlE#,IT,74.41,810682.0,InsIdeR,SOCIal EnginEerIng,,68.0,38.43
GErMany,2017.0,,  Retail,98.24,285201.0,UnKnown,SocIal EngineeriNg,ANTiVIRUs,25.0,38.43
,2016.0,,,33.26,431262.0,  INsidEr  ,,VPN,34.0,583.37
FrANce,2018.0,,,59.23,,UNknOwn,,AnTiVirUs ,,172.63
,2016.0,Man-iN-the-MidDle,,16.88,698249.0,Unknown,SOciAl EnGinEerinG,VPN,,
UK,2023.0,DDoS,HEaLtHcARe,69.14,685927.0,HacKeR GROUp,UNpatChed SoFtware#,FireWall,58.0,123.2
CHina,,PhiShing,TelEcoMmUnications,88.67,493675.0,Unknown,ZeRo-day,  VPN  @,29.0,27.25
China,,SQL InjectiOn#, HeAltHcare,38.81,920768.0,HAcKer GRouP,UnpatchEd SOfTwarE  ,AI-bAsEd DetEcTion,27.0,27.15
InDia,,RAnSoMware,EdUCAtion@,30.56,583204.0,,Zero-day,,37.0,78.49
FraNce,2023.0,,HEalthCaRe,58.37,, NAtIon-stAte  ,,AI-basED Detection,35.0,3.1
FrAnCe,2024.0,DDoS, IT  ,48.01,922258.0,UNkNown,,,64.0,
AUstraliA,2022.0,PHishIng,BANkiNG,64.31,120789.0,NatIon-STate,ZeRo-day,EncRYptiOn,,23.49
Russia,,  MAN-IN-the-MiDDlE,HealthcaRe,13.04,850158.0,HAcKeR GRoup,  UNpatched Software#,AI-based DeteCtiOn  ,67.0,11.95
 India ,2015.0,,  IT  ,93.14,,Insider,  Social ENgINEering  #,EncrypTioN,56.0,87.48
UK,2019.0,MALware, TelecoMmunIcaTiOns  ,14.01,578443.0, InSider ,Social Engineering,FirEwAll,28.0,13.98
  INdiA  ,2016.0,DDoS,IT,36.45,261808.0,NatioN-sTaTe,,AI-BAseD DetecTIon,6.0,6.56
Brazil,2015.0,,RETaIL,49.55,920172.0,,WeAk PAssWords  ,AnTiViRus,43.0,492.0
FraNCe,2023.0,Ransomware,Education@,,,InsiDer, SocIaL ENginEeRINg,  VPN  !,11.0,38.91
,2017.0,DDOS!,GoveRnMent,,246205.0,NatiOn-STate,UnPaTChed Software,,30.0,60.42
JaPAn,2022.0,PhishiNg,TeleCOMmUNicAtiONs,20.42,186148.0,NatIon-sTAte,WEak PaSswords!,AnTIvIruS,32.0,6.44
BraZIl,,DDoS,TelecoMmuniCations ,51.84,699007.0,HacKeR GrOup,SociAl EngiNeering,VPN,30.0,24.13
ChIna,2021.0,PhishINg,RetaIl,51.06,628562.0,INSider,ZERo-daY,AI-baSEd DEtectiON,52.0,64.48
Japan!,2022.0,MaLwAre#,EdUCation,53.04,570494.0,,  UNpAtchEd SoftwArE , VPN ,53.0,9.71
,2022.0,RansomwarE,BankinG,26.17,937653.0,INsider,UnpAtched SOFtwarE,,24.0,95.92
,,Malware,IT,87.32,599757.0,UNKnoWn,SocIal EnGiNeeriNG,,9.0,22.18
AUStRaliA,2015.0,DDoS,,82.7,904805.0,,ZEro-DaY,  EncRyption,61.0,35.25
UK,2022.0,SQL Injection,EDucAtion,66.24,,HaCkEr GroUp,SOcIal EngiNeEring,AI-baseD DetEcTIon,11.0,22.14
FRaNce,2020.0,,TelEcOMmunIcATIoNs,18.38,246900.0,HACkeR GrOUp#,ZERo-Day,AI-BaSeD DeTecTiON,34.0,
,2015.0,,IT,42.99,85255.0,UnKNoWn,,EncryPtion#,61.0,53.5
,2022.0,PhiShING,BanKING,98.47,972469.0,NAtIon-STaTe#,ZEro-Day,AntIVIrus,21.0,
BRAZIl,2023.0,PhiShing,Healthcare,14.51,113777.0,,WEaK PasswoRDs,VPN,27.0,187.51
Brazil,2020.0,PHiShInG,BANKinG,17.75,739540.0,,Zero-daY,ENcrYptiOn!,31.0,8.75
China,2020.0,,EduCaTiOn,,722788.0,Nation-STATe,,FIrewALL,70.0,74.69
Japan,2021.0,SQL InJectiOn!,Retail,82.52,214372.0,InsIder,UnPATcHED SOftwArE,EncRYpTion,12.0,2.89
,2022.0,,RETAiL,32.53,235314.0,InsIdeR, WeaK PasswORDs,AI-bAsEd DeTection,62.0,7.45
BrAzil  ,2016.0,,EdUcaTION,,140812.0,NATion-STate,UnpaTched SoftWare,VPN,71.0,
RuSSia,2015.0,DDOS,TeLecOMMUNiCatiONS,96.39,238356.0,UnknOwn!,ZerO-dAy,AI-basEd DeTectiOn,3.0,165.29
INDia,2021.0,SQL InJEctiON,IT,98.09,,,,VPN,57.0,70.6
UK  ,,Man-iN-the-Middle,ReTail,,,NatIon-StAtE,, EncRYpTioN!,,45.9
USA,2017.0,DDoS,IT,74.12,403108.0,HaCker Group,Zero-DAy,VPN,,34.76
AustRalia,2020.0,  DDoS  ,BanKinG,92.95,942890.0,InSidER ,WEak PAssworDs,ANtiViRus,19.0,5.94
FrancE,2022.0,MalWare,HEaLThcaRe,20.33,,  UnKNOWN  ,,AI-Based DetectioN,36.0,18.55
,2016.0,SQL InjEcTIon,GoverNment@,27.33,481293.0,HaCker GrouP,UNpATChEd SOfTware,ANtiVIruS,65.0,27.36
India@,2016.0,,EducatiOn,21.01,602692.0,HaCker GroUp,UnPAtched SOFtwAre,VPN@,,266.58
UK,2018.0,  MaN-in-THE-MIddle ,RetAIl!,13.66,455529.0,HackEr GrOuP,ZErO-Day,,40.0,91.42
JapAN,2017.0,PhiShing  ,TeLecOMmUnicAtIons,,383395.0,,ZeRO-day,VPN,31.0,3.88
